clinical_item_id,name,base_name
69383,YCHRA1(High),YCHRA1
69933,YCHRA1(InRange),YCHRA1
68007,YCHRA1(Result),YCHRA1
71534,YCHRO1(High),YCHRO1
73076,YCHRO1(InRange),YCHRO1
72839,YCHRO1(Result),YCHRO1
69633,YCITRU(InRange),YCITRU
70247,YCITRU(Low),YCITRU
73043,YCKMB(High),YCKMB
73080,YCKMB(InRange),YCKMB
73081,YCKMM(InRange),YCKMM
73044,YCKMM(Low),YCKMM
73641,YCKMM(Result),YCKMM
73045,YCKTOT(Result),YCKTOT
70570,YCLAM1(Result),YCLAM1
68667,YCLAM2(Result),YCLAM2
68666,YCLAM3(Result),YCLAM3
68665,YCLAM4(Result),YCLAM4
68664,YCLAM5(Result),YCLAM5
68663,YCLAM6(Result),YCLAM6
68662,YCLAM7(Result),YCLAM7
71496,YCLON1(High),YCLON1
70092,YCLON1(InRange),YCLON1
68770,YCLON1(Low),YCLON1
69431,YCLON1(Result),YCLON1
70994,YCLOZ1(High),YCLOZ1
70263,YCLOZ1(InRange),YCLOZ1
68233,YCLOZ1(Result),YCLOZ1
70993,YCOMT(High),YCOMT
70261,YCOMT(InRange),YCOMT
68231,YCOMT(Result),YCOMT
72184,YCRMP(Result),YCRMP
69170,YDESET(InRange),YDESET
67471,YDESET(Low),YDESET
70647,YDESET(Result),YDESET
68688,YDGLIA(Result),YDGLIA
70354,YDIAZ3(High),YDIAZ3
68358,YDIAZ3(Result),YDIAZ3
71739,YDIGT2(InRange),YDIGT2
67260,YDIGT2(Result),YDIGT2
70907,YDIPT1(High),YDIPT1
70883,YDIPT1(InRange),YDIPT1
70426,YDISO1(Result),YDISO1
70619,YDNBT1(High),YDNBT1
71121,YDNBT1(InRange),YDNBT1
69406,YDNBT1(Result),YDNBT1
72237,YDOC1(High),YDOC1
72236,YDOC2(Result),YDOC2
72235,YDOC3(Result),YDOC3
68029,YDR1(Result),YDR1
66546,YEB1(Result),YEB1
66545,YEB2(Result),YEB2
66544,YEB3(Result),YEB3
66543,YEB4(Result),YEB4
67754,YEBP1(Result),YEBP1
70128,YEBP3(Result),YEBP3
69729,YEMAIN(Result),YEMAIN
69221,YEN3(Result),YEN3
69220,YEN5(Result),YEN5
69219,YEN8(Result),YEN8
69218,YEN9(Result),YEN9
67271,YENP1(Result),YENP1
67270,YENP2(Result),YENP2
68028,YENP3(Result),YENP3
67269,YENP4(Result),YENP4
73770,YEP1(Result),YEP1
73768,YEP3(Result),YEP3
73767,YEP4(Result),YEP4
73766,YEP5(Result),YEP5
67753,YEPB4(Result),YEPB4
69760,YESTR1(Result),YESTR1
73761,YFAC1(High),YFAC1
72320,YFAC1(InRange),YFAC1
69162,YFAC1(Result),YFAC1
72311,YFAC10(InRange),YFAC10
69153,YFAC10(Low),YFAC10
72310,YFAC11(High),YFAC11
72508,YFAC11(InRange),YFAC11
69152,YFAC11(Low),YFAC11
72309,YFAC12(High),YFAC12
72483,YFAC12(InRange),YFAC12
69151,YFAC12(Result),YFAC12
72308,YFAC13(InRange),YFAC13
72507,YFAC13(Low),YFAC13
69150,YFAC13(Result),YFAC13
72482,YFAC14(High),YFAC14
72307,YFAC14(InRange),YFAC14
73650,YFAC14(Low),YFAC14
69149,YFAC14(Result),YFAC14
72306,YFAC15(InRange),YFAC15
72506,YFAC15(Low),YFAC15
69148,YFAC15(Result),YFAC15
69147,YFAC16(Low),YFAC16
72305,YFAC17(High),YFAC17
72481,YFAC17(InRange),YFAC17
69146,YFAC17(Result),YFAC17
72304,YFAC18(InRange),YFAC18
72480,YFAC18(Low),YFAC18
69145,YFAC18(Result),YFAC18
72303,YFAC19(InRange),YFAC19
69144,YFAC19(Result),YFAC19
72319,YFAC2(InRange),YFAC2
69161,YFAC2(Result),YFAC2
72302,YFAC20(InRange),YFAC20
73649,YFAC20(Low),YFAC20
69143,YFAC20(Result),YFAC20
72479,YFAC21(High),YFAC21
72301,YFAC21(InRange),YFAC21
69142,YFAC21(Result),YFAC21
73658,YFAC22(High),YFAC22
72300,YFAC22(InRange),YFAC22
69141,YFAC22(Result),YFAC22
72478,YFAC23(High),YFAC23
