base_name,window,consecutive,total,normal
12263R,30,0,3,1
12263R,30,NULL,8,1
12263R,90,0,3,1
12263R,90,NULL,8,1
12265R,1,NULL,11,4
12265R,2,0,1,0
12265R,2,NULL,10,4
12265R,4,0,1,0
12265R,4,NULL,10,4
12265R,7,0,2,0
12265R,7,NULL,9,4
12265R,30,0,3,1
12265R,30,NULL,8,3
12265R,90,0,3,1
12265R,90,NULL,8,3
12266R,1,NULL,11,4
12266R,2,0,1,0
12266R,2,NULL,10,4
12266R,4,0,1,0
12266R,4,NULL,10,4
12266R,7,0,2,0
12266R,7,NULL,9,4
12266R,30,0,3,1
12266R,30,NULL,8,3
12266R,90,0,3,1
12266R,90,NULL,8,3
12267R,1,NULL,11,3
12267R,2,0,1,1
12267R,2,NULL,10,2
12267R,4,0,1,1
12267R,4,NULL,10,2
12267R,7,0,2,1
12267R,7,NULL,9,2
12267R,30,0,3,2
12267R,30,NULL,8,1
12267R,90,0,3,2
12267R,90,NULL,8,1
12268R,1,NULL,11,4
12268R,2,0,1,1
12268R,2,NULL,10,3
12268R,4,0,1,1
12268R,4,NULL,10,3
12268R,7,0,2,1
12268R,7,NULL,9,3
12268R,30,0,3,2
12268R,30,NULL,8,2
12268R,90,0,3,2
12268R,90,NULL,8,2
12269R,1,NULL,11,1
12269R,2,0,1,0
12269R,2,NULL,10,1
12269R,4,0,1,0
12269R,4,NULL,10,1
12269R,7,0,2,0
12269R,7,NULL,9,1
12269R,30,0,3,1
12269R,30,NULL,8,0
12269R,90,0,3,1
12269R,90,NULL,8,0
12270R,1,NULL,11,3
12270R,2,0,1,1
12270R,2,NULL,10,2
12270R,4,0,1,1
12270R,4,NULL,10,2
12270R,7,0,2,1
12270R,7,NULL,9,2
12270R,30,0,3,2
12270R,30,NULL,8,1
12270R,90,0,3,2
12270R,90,NULL,8,1
12271R,1,NULL,11,2
12271R,2,0,1,0
12271R,2,NULL,10,2
12271R,4,0,1,0
12271R,4,NULL,10,2
12271R,7,0,2,0
12271R,7,NULL,9,2
12271R,30,0,3,1
12271R,30,NULL,8,1
12271R,90,0,3,1
12271R,90,NULL,8,1
12273R,1,NULL,11,5
12273R,2,0,1,1
12273R,2,NULL,10,4
12273R,4,0,1,1
12273R,4,NULL,10,4
12273R,7,0,2,1
12273R,7,NULL,9,4
12273R,30,0,3,2
12273R,30,NULL,8,3
12273R,90,0,3,2
12273R,90,NULL,8,3
12274R,1,NULL,11,1
12274R,2,0,1,1
12274R,2,NULL,10,0
12274R,4,0,1,1
12274R,4,NULL,10,0
12274R,7,0,2,1
12274R,7,NULL,9,0
12274R,30,0,3,1
12274R,30,NULL,8,0
12274R,90,0,3,1
12274R,90,NULL,8,0
12275R,1,NULL,11,4
12275R,2,0,1,1
12275R,2,NULL,10,3
12275R,4,0,1,1
12275R,4,NULL,10,3
12275R,7,0,2,1
12275R,7,NULL,9,3
12275R,30,0,3,2
12275R,30,NULL,8,2
12275R,90,0,3,2
12275R,90,NULL,8,2
12276R,1,NULL,11,4
12276R,2,0,1,1
12276R,2,NULL,10,3
12276R,4,0,1,1
12276R,4,NULL,10,3
12276R,7,0,2,1
12276R,7,NULL,9,3
12276R,30,0,3,2
12276R,30,NULL,8,2
12276R,90,0,3,2
12276R,90,NULL,8,2
12293R,1,0,2,0
12293R,1,NULL,18,5
12293R,2,0,3,0
12293R,2,NULL,17,5
12293R,4,0,5,0
12293R,4,NULL,15,5
12293R,7,0,6,1
12293R,7,NULL,14,4
12293R,30,0,6,1
12293R,30,NULL,14,4
12293R,90,0,6,1
12293R,90,NULL,14,4
12294R,1,0,2,0
12294R,1,NULL,18,7
12294R,2,0,3,0
12294R,2,NULL,17,7
12294R,4,0,4,1
12294R,4,1,1,0
12294R,4,NULL,15,6
12294R,7,0,5,2
12294R,7,1,1,0
12294R,7,NULL,14,5
12294R,30,0,5,2
12294R,30,1,1,0
12294R,30,NULL,14,5
12294R,90,0,5,2
12294R,90,1,1,0
12294R,90,NULL,14,5
12295R,1,0,2,0
12295R,1,NULL,18,5
12295R,2,0,3,0
12295R,2,NULL,17,5
12295R,4,0,5,0
12295R,4,NULL,15,5
12295R,7,0,6,1
12295R,7,NULL,14,4
12295R,30,0,6,1
12295R,30,NULL,14,4
12295R,90,0,6,1
12295R,90,NULL,14,4
12297R,1,0,2,0
12297R,1,NULL,18,6
12297R,2,0,3,0
12297R,2,NULL,17,6
12297R,4,0,4,1
12297R,4,1,1,1
12297R,4,NULL,15,4
12297R,7,0,5,2
12297R,7,1,1,1
12297R,7,NULL,14,3
12297R,30,0,5,2
12297R,30,1,1,1
12297R,30,NULL,14,3
12297R,90,0,5,2
12297R,90,1,1,1
12297R,90,NULL,14,3
12299R,1,0,2,0
12299R,1,NULL,18,6
12299R,2,0,3,0
12299R,2,NULL,17,6
12299R,4,0,4,1
12299R,4,1,1,1
12299R,4,NULL,15,4
12299R,7,0,5,2
12299R,7,1,1,1
12299R,7,NULL,14,3
12299R,30,0,5,2
12299R,30,1,1,1
12299R,30,NULL,14,3
12299R,90,0,5,2
12299R,90,1,1,1
12299R,90,NULL,14,3
12300R,1,0,2,0
12300R,1,NULL,18,7
12300R,2,0,3,0
12300R,2,NULL,17,7
12300R,4,0,4,1
12300R,4,1,1,1
12300R,4,NULL,15,5
12300R,7,0,5,2
12300R,7,1,1,1
12300R,7,NULL,14,4
12300R,30,0,5,2
12300R,30,1,1,1
12300R,30,NULL,14,4
12300R,90,0,5,2
12300R,90,1,1,1
12300R,90,NULL,14,4
12301R,1,0,2,0
12301R,1,NULL,18,7
12301R,2,0,3,0
12301R,2,NULL,17,7
12301R,4,0,4,1
12301R,4,1,1,1
12301R,4,NULL,15,5
12301R,7,0,5,2
12301R,7,1,1,1
12301R,7,NULL,14,4
12301R,30,0,5,2
12301R,30,1,1,1
12301R,30,NULL,14,4
12301R,90,0,5,2
12301R,90,1,1,1
12301R,90,NULL,14,4
12302R,1,0,2,0
12302R,1,NULL,18,7
12302R,2,0,3,0
12302R,2,NULL,17,7
12302R,4,0,4,1
12302R,4,1,1,1
12302R,4,NULL,15,5
12302R,7,0,5,2
12302R,7,1,1,1
12302R,7,NULL,14,4
12302R,30,0,5,2
12302R,30,1,1,1
12302R,30,NULL,14,4
12302R,90,0,5,2
12302R,90,1,1,1
12302R,90,NULL,14,4
12303R,1,0,2,0
12303R,1,NULL,18,5
12303R,2,0,3,0
12303R,2,NULL,17,5
12303R,4,0,4,1
12303R,4,1,1,1
12303R,4,NULL,15,3
12303R,7,0,5,2
12303R,7,1,1,1
12303R,7,NULL,14,2
12303R,30,0,5,2
12303R,30,1,1,1
12303R,30,NULL,14,2
12303R,90,0,5,2
12303R,90,1,1,1
