base_name,window,consecutive,total,normal
AST,90,5,56086,51223
ASTRO,1,1,2,2
ASTRO,2,1,2,2
ASTRO,4,1,2,2
ASTRO,7,1,2,2
ASTRO,30,1,3,2
ASTRO,90,1,3,2
AT3,1,1,4,2
AT3,2,1,10,6
AT3,2,2,1,0
AT3,4,1,11,6
AT3,4,2,1,0
AT3,7,1,13,6
AT3,7,2,1,0
AT3,30,1,13,6
AT3,30,2,1,0
AT3,90,1,16,9
AT3,90,2,1,0
ATGA,90,1,1,1
ATGA,90,2,1,1
ATPO,1,1,2,2
ATPO,2,1,4,3
ATPO,4,1,4,3
ATPO,4,2,1,1
ATPO,7,1,4,3
ATPO,7,2,1,1
ATPO,30,1,4,3
ATPO,30,2,1,1
ATPO,90,1,4,3
ATPO,90,2,1,1
ATTGT,1,1,2,0
ATTGT,2,1,2,0
ATTGT,4,1,2,0
ATTGT,7,1,3,1
ATTGT,30,1,3,1
ATTGT,90,1,4,2
B2GP1IGA,1,1,1,1
B2GP1IGA,2,1,1,1
B2GP1IGA,4,1,1,1
B2GP1IGA,7,1,1,1
B2GP1IGA,30,1,2,2
B2GP1IGA,90,1,2,2
B2M,1,1,3,2
B2M,2,1,3,2
B2M,4,1,5,3
B2M,7,1,5,3
B2M,30,1,5,3
B2M,90,1,5,3
B2MCREAT,4,1,2,1
B2MCREAT,7,1,2,1
B2MCREAT,30,1,2,1
B2MCREAT,90,1,2,1
BALN,1,1,1,1
BALN,2,1,2,2
BALN,4,1,2,2
BALN,7,1,2,2
BALN,30,1,2,2
BALN,90,1,2,2
BAMBA,1,1,1,1
BAMBA,2,1,2,2
BAMBA,4,1,2,2
BAMBA,7,1,2,2
BAMBA,30,1,2,2
BAMBA,90,1,2,2
BASO,1,1,154894,152964
BASO,1,2,20865,20532
BASO,1,3,7032,6937
BASO,1,4,3107,3062
BASO,1,5,1425,1411
BASO,2,1,149369,147108
BASO,2,2,109950,108957
BASO,2,3,19662,19400
BASO,2,4,8964,8856
BASO,2,5,10658,10522
BASO,4,1,73353,71446
BASO,4,2,57220,56342
BASO,4,3,82976,82213
BASO,4,4,62859,62409
BASO,4,5,37108,36655
BASO,7,1,67423,65859
BASO,7,2,51811,50839
BASO,7,3,39722,39144
BASO,7,4,30125,29825
BASO,7,5,129620,128356
BASO,30,1,60524,58958
BASO,30,2,46485,45682
BASO,30,3,35896,35320
BASO,30,4,27603,27179
BASO,30,5,159154,157356
BASO,90,1,55858,54392
BASO,90,2,43280,42457
BASO,90,3,33680,33118
BASO,90,4,26323,25883
BASO,90,5,177755,175618
BASOAB,1,1,154553,152395
BASOAB,1,2,20718,20344
BASOAB,1,3,6967,6854
BASOAB,1,4,3090,3037
BASOAB,1,5,1407,1392
BASOAB,2,1,149316,146932
BASOAB,2,2,109621,108461
BASOAB,2,3,19477,19157
BASOAB,2,4,8850,8724
BASOAB,2,5,10517,10362
BASOAB,4,1,73538,71624
BASOAB,4,2,57364,56419
BASOAB,4,3,82795,81903
BASOAB,4,4,62476,61886
BASOAB,4,5,36468,35944
BASOAB,7,1,67645,66076
BASOAB,7,2,52030,51015
BASOAB,7,3,39847,39217
BASOAB,7,4,30196,29843
BASOAB,7,5,128090,126558
BASOAB,30,1,60796,59225
BASOAB,30,2,46740,45895
BASOAB,30,3,36082,35451
BASOAB,30,4,27731,27276
BASOAB,30,5,157387,155262
BASOAB,90,1,56163,54685
BASOAB,90,2,43564,42713
BASOAB,90,3,33922,33309
BASOAB,90,4,26490,26006
BASOAB,90,5,175815,173334
BBFRAC,1,1,5,5
BBFRAC,1,2,1,1
BBFRAC,2,1,6,6
BBFRAC,2,2,1,1
BBFRAC,4,1,5,5
BBFRAC,4,2,2,2
BBFRAC,4,3,1,1
BBFRAC,7,1,5,5
BBFRAC,7,2,2,2
BBFRAC,7,3,1,1
BBFRAC,30,1,5,5
BBFRAC,30,2,2,2
BBFRAC,30,3,1,1
BBFRAC,90,1,5,5
BBFRAC,90,2,2,2
BBFRAC,90,3,1,1
BD,1,1,9062,4432
BD,1,2,3056,1699
BD,1,3,1284,767
BD,1,4,557,339
BD,1,5,410,247
BD,2,1,9152,4438
BD,2,2,3137,1735
BD,2,3,1356,814
BD,2,4,625,377
BD,2,5,552,354
BD,4,1,9227,4462
BD,4,2,3205,1764
BD,4,3,1387,830
BD,4,4,655,392
BD,4,5,641,417
BD,7,1,9282,4478
BD,7,2,3260,1780
BD,7,3,1418,844
BD,7,4,681,410
BD,7,5,677,441
BD,30,1,9409,4502
BD,30,2,3353,1811
BD,30,3,1461,869
BD,30,4,699,424
BD,30,5,753,482
BD,90,1,9462,4521
BD,90,2,3396,1822
BD,90,3,1473,874
BD,90,4,712,430
BD,90,5,762,487
BE,1,1,5315,3641
BE,1,2,2282,1696
BE,1,3,1073,844
BE,1,4,515,425
BE,1,5,394,325
BE,2,1,5298,3567
BE,2,2,2270,1647
BE,2,3,1143,892
BE,2,4,639,507
BE,2,5,888,714
BE,4,1,5331,3539
BE,4,2,2313,1663
BE,4,3,1159,890
BE,4,4,653,504
BE,4,5,1187,945
BE,7,1,5404,3559
BE,7,2,2350,1678
BE,7,3,1190,905
BE,7,4,680,520
BE,7,5,1297,1034
BE,30,1,5522,3604
BE,30,2,2467,1734
BE,30,3,1255,951
BE,30,4,736,549
BE,30,5,1396,1090
BE,90,1,5564,3616
BE,90,2,2512,1761
BE,90,3,1283,961
BE,90,4,749,556
BE,90,5,1433,1116
BHCG,1,1,1,1
BHCG,2,1,1,1
BHCG,4,1,1,1
BHCG,7,1,2,2
BHCG,30,1,3,2
BHCG,30,2,1,1
BHCG,30,3,1,1
BHCG,90,1,4,4
BHCG,90,2,2,1
BHCG,90,3,1,1
BHCG,90,4,1,1
BLASTS,1,1,3,1
BLASTS,2,1,4,1
BLASTS,4,1,4,1
BLASTS,7,1,4,1
BLASTS,30,1,5,1
BLASTS,30,2,1,0
BLASTS,90,1,6,1
BLASTS,90,2,1,0
BLASTSAB,1,1,150,102
BLASTSAB,1,2,6,4
BLASTSAB,2,1,207,129
BLASTSAB,2,2,39,27
BLASTSAB,2,3,2,2
BLASTSAB,4,1,211,130
BLASTSAB,4,2,61,39
BLASTSAB,4,3,20,13
BLASTSAB,4,4,1,1
BLASTSAB,7,1,205,127
BLASTSAB,7,2,65,41
BLASTSAB,7,3,24,17
BLASTSAB,7,4,7,5
BLASTSAB,7,5,2,2
BLASTSAB,30,1,222,129
BLASTSAB,30,2,77,44
BLASTSAB,30,3,26,18
BLASTSAB,30,4,12,7
BLASTSAB,30,5,13,12
BLASTSAB,90,1,227,127
BLASTSAB,90,2,82,45
BLASTSAB,90,3,29,20
BLASTSAB,90,4,14,9
BLASTSAB,90,5,14,12
BNP,1,1,125,82
BNP,1,2,3,2
BNP,2,1,156,103
BNP,2,2,33,13
BNP,2,3,1,1
BNP,4,1,167,105
BNP,4,2,42,17
BNP,4,3,3,3
BNP,7,1,190,116
BNP,7,2,43,17
BNP,7,3,2,2
BNP,7,4,1,1
BNP,30,1,243,141
BNP,30,2,47,19
BNP,30,3,4,2
BNP,30,4,1,1
BNP,90,1,300,171
BNP,90,2,56,24
BNP,90,3,4,2
BNP,90,4,1,1
BOH,1,1,8,4
BOH,1,2,3,3
BOH,1,3,2,2
BOH,1,4,2,1
BOH,2,1,11,7
BOH,2,2,5,4
BOH,2,3,2,2
BOH,2,4,2,1
BOH,4,1,12,6
BOH,4,2,5,5
BOH,4,3,4,3
BOH,4,4,2,1
BOH,7,1,12,6
BOH,7,2,4,4
BOH,7,3,4,3
BOH,7,4,4,3
BOH,30,1,12,6
BOH,30,2,6,5
BOH,30,3,4,3
BOH,30,4,3,2
BOH,30,5,1,1
BOH,90,1,12,6
BOH,90,2,6,5
BOH,90,3,4,3
BOH,90,4,3,2
BOH,90,5,1,1
BUN,1,1,198685,185478
BUN,1,2,48703,45876
BUN,1,3,13890,13225
BUN,1,4,5860,5595
BUN,1,5,3064,2946
BUN,2,1,165044,152828
BUN,2,2,128285,120520
BUN,2,3,43763,41236
BUN,2,4,24800,23427
BUN,2,5,22021,20967
BUN,4,1,93346,84660
BUN,4,2,69400,64093
BUN,4,3,80812,76498
BUN,4,4,67860,64521
BUN,4,5,81480,77349
BUN,7,1,89813,81274
BUN,7,2,66317,61097
BUN,7,3,47606,44518
BUN,7,4,35120,32977
BUN,7,5,157541,150340
BUN,30,1,84500,75994
BUN,30,2,62099,56972
BUN,30,3,44472,41385
BUN,30,4,33649,31431
BUN,30,5,179925,171314
BUN,90,1,80998,72508
BUN,90,2,59878,54758
BUN,90,3,43323,40161
BUN,90,4,33065,30769
BUN,90,5,193578,183965
C125,1,1,4,4
C125,2,1,5,5
C125,4,1,7,7
C125,4,2,1,1
C125,7,1,8,7
C125,7,2,1,1
C125,30,1,12,11
C125,30,2,1,1
C125,90,1,11,10
C125,90,2,3,2
C199,1,1,12,10
C199,2,1,12,10
C199,4,1,15,12
C199,7,1,18,13
C199,30,1,20,15
C199,90,1,22,17
C199,90,2,1,1
C1Q,1,1,1,0
C1Q,2,1,1,0
C1Q,4,1,2,1
C1Q,7,1,2,1
C1Q,30,1,2,1
C1Q,90,1,2,1
CAB,1,1,1,0
CAB,2,1,1,0
CAB,4,1,1,0
CAB,7,1,2,0
CAB,30,1,5,3
CAB,90,1,7,4
CCPT,1,1,3,2
CCPT,2,1,3,2
CCPT,4,1,3,2
CCPT,7,1,3,2
CCPT,30,1,3,2
CCPT,90,1,3,2
CD34AB,1,1,7,3
CD34AB,2,1,9,6
CD34AB,2,2,2,1
CD34AB,4,1,5,3
CD34AB,4,2,3,1
CD34AB,4,3,3,3
CD34AB,7,1,5,3
CD34AB,7,2,3,1
CD34AB,7,3,1,1
CD34AB,7,4,1,1
CD34AB,7,5,1,1
CD34AB,30,1,5,3
CD34AB,30,2,3,1
CD34AB,30,3,1,1
CD34AB,30,4,1,1
CD34AB,30,5,1,1
CD34AB,90,1,5,3
CD34AB,90,2,3,1
CD34AB,90,3,1,1
CD34AB,90,4,1,1
CD34AB,90,5,1,1
CEA,1,1,14,12
CEA,2,1,16,13
CEA,4,1,18,15
CEA,4,2,1,1
CEA,7,1,20,17
CEA,7,2,1,1
CEA,30,1,23,19
CEA,30,2,1,1
CEA,90,1,24,20
CEA,90,2,1,1
CHOL,1,1,513,490
CHOL,1,2,14,14
CHOL,1,3,2,2
CHOL,1,4,1,1
CHOL,2,1,621,593
CHOL,2,2,53,51
CHOL,2,3,3,3
CHOL,2,4,1,1
CHOL,2,5,1,1
CHOL,4,1,677,644
CHOL,4,2,56,54
CHOL,4,3,25,25
CHOL,4,4,11,11
CHOL,4,5,1,1
CHOL,7,1,729,693
CHOL,7,2,68,66
CHOL,7,3,16,16
CHOL,7,4,9,9
CHOL,7,5,15,15
CHOL,30,1,803,761
CHOL,30,2,92,89
CHOL,30,3,25,24
CHOL,30,4,15,15
CHOL,30,5,24,23
CHOL,90,1,919,870
CHOL,90,2,122,117
CHOL,90,3,28,27
CHOL,90,4,15,15
CHOL,90,5,28,27
CHOLHDL,1,1,479,453
CHOLHDL,1,2,16,15
CHOLHDL,1,3,2,2
CHOLHDL,1,4,1,1
CHOLHDL,2,1,580,550
CHOLHDL,2,2,49,46
CHOLHDL,2,3,3,2
CHOLHDL,2,4,1,1
CHOLHDL,2,5,1,1
CHOLHDL,4,1,608,575
CHOLHDL,4,2,50,46
CHOLHDL,4,3,22,21
CHOLHDL,4,4,11,11
CHOLHDL,4,5,1,1
CHOLHDL,7,1,655,613
CHOLHDL,7,2,53,49
CHOLHDL,7,3,12,11
CHOLHDL,7,4,8,8
CHOLHDL,7,5,15,15
CHOLHDL,30,1,730,682
CHOLHDL,30,2,73,65
CHOLHDL,30,3,15,13
CHOLHDL,30,4,9,9
CHOLHDL,30,5,15,15
CHOLHDL,90,1,842,780
CHOLHDL,90,2,96,87
CHOLHDL,90,3,18,16
CHOLHDL,90,4,9,9
CHOLHDL,90,5,16,15
