y,y_hat_rf,y_hat_mlp
1,0.49814043555422866,0.5291231
1,0.5495924557562488,0.5371696
0,0.6640678493619669,0.45641938
1,0.574002771606727,0.43880165
0,0.552552200260111,0.4243686
1,0.8349595393713042,0.5301862
1,0.27524771524771524,0.49992692
1,0.5798085901027077,0.43184593
1,0.6199346405228758,0.4679031
1,1.0,0.6034915
1,0.5868191721132898,0.5222776
0,0.5101774725912657,0.51682407
1,0.6199346405228758,0.5084511
1,0.6199346405228758,0.440905
1,0.5610210271848203,0.53529596
1,0.9417989417989417,0.42175052
0,0.6778478057889823,0.4673658
1,0.7307345160286337,0.52162534
0,0.5593808155446086,0.51389873
1,0.9468409586056644,0.46018013
0,0.46506253006253007,0.48548916
0,0.5111904761904762,0.37611198
1,1.0,0.5890264
1,0.8971055088702148,0.5303247
0,0.5424404761904762,0.42176065
1,0.9925925925925926,0.578908
1,0.46506253006253007,0.43203762
1,0.5712198289277397,0.47052878
0,0.9925925925925926,0.51623946
0,0.6723123732251521,0.31452617
1,0.522238455988456,0.56982374
1,1.0,0.54390854
1,0.7302521008403361,0.51646423
1,1.0,0.42594826
0,0.5795583271622826,0.42774615
1,0.5495924557562488,0.5354295
0,0.4103963278101209,0.46716237
1,0.36313131313131314,0.5741694
1,0.8053376906318084,0.4274646
0,0.599526707234618,0.4522845
1,0.8098506069094304,0.53215855
1,1.0,0.53866905
1,0.9925925925925926,0.53704286
0,0.2481144781144781,0.36729798
1,1.0,0.6169239
0,0.1631313131313131,0.5468755
1,0.9925925925925926,0.5727979
1,0.5841827918907027,0.30818978
0,0.5987177093059446,0.34425297
1,0.5971645363126094,0.43093547
0,0.5967728758169935,0.42003232
1,0.9357298474945533,0.43734932
0,0.515988455988456,0.37504378
1,0.5293904355542287,0.47218895
0,0.661998132586368,0.46671635
1,0.33018939393939395,0.471236
1,0.5939711516790624,0.45946205
1,0.7481948334889512,0.47449496
1,0.6485060690943044,0.42168564
1,0.7052054154995331,0.48815733
1,0.5708093869731801,0.4721499
1,0.5538690476190476,0.42616662
1,0.5424404761904762,0.38369864
1,0.38629629629629625,0.47977453
1,0.9592592592592594,0.45124626
1,0.9703703703703704,0.6091162
1,0.9925925925925926,0.45609608
0,0.6199346405228758,0.42652288
1,0.5983021024501755,0.4683411
1,0.6157018362900717,0.5535566
1,0.5336670274170274,0.40399846
1,1.0,0.4244997
1,0.7743853096794273,0.42127523
1,0.8971055088702148,0.5240166
0,0.5868191721132898,0.42450505
1,1.0,0.55276954
1,0.5610210271848203,0.42165756
1,0.5939711516790624,0.41692972
1,0.46506253006253007,0.42751923
0,0.6157018362900717,0.42771912
0,0.49814043555422866,0.51516026
0,0.6495422690148857,0.42594066
1,1.0,0.52538973
1,0.5841827918907027,0.42893592
1,0.9537037037037036,0.4265438
1,0.6199346405228758,0.42201066
1,0.9640211640211641,0.53257674
0,0.7246498599439776,0.4746549
0,0.5495924557562488,0.45307815
1,1.0,0.52625775
1,0.610146280734516,0.52076507
1,0.6485060690943044,0.50946146
0,0.5454002206943384,0.4205177
1,0.5841827918907027,0.5031824
1,0.509275493025493,0.54628795
0,0.5841827918907027,0.43132496
0,0.5293904355542287,0.45243812
0,0.6540616246498601,0.47144413
0,0.4433424557562488,0.5063538
1,0.46668290043290045,0.46016583
1,0.522238455988456,0.47677085
1,0.45085798460798454,0.4252503
0,0.49631253006253007,0.46506107
1,1.0,0.5812552
1,0.5955243246723977,0.4407533
0,0.44460798460798456,0.4596085
0,0.6199346405228758,0.45967767
1,0.9537037037037036,0.5558247
1,0.5079287953425885,0.5401354
1,0.8619203236850297,0.46895832
1,0.5727542204621312,0.49162862
1,0.6199346405228758,0.46569526
