provider_id,start_date,end_date,rotation_id,role
S0069088,2012-12-24 00:00:00,2012-12-29,5,R2
S0069088,2013-03-23 00:00:00,2013-04-06,5,R2
S0069088,2013-05-04 00:00:00,2013-06-01,2,R2
S0069088,2013-06-01 00:00:00,2013-07-01,27,R2
S0069088,2013-07-01 00:00:00,2013-07-13,5,R3
S0069088,2013-12-28 00:00:00,2014-01-11,5,R3
S0069088,2014-01-11 00:00:00,2014-02-08,2,R3
S0069088,2014-04-05 00:00:00,2014-05-03,27,R3
S0069100,2012-07-21 00:00:00,2012-08-18,2,R1
S0069100,2012-11-24 00:00:00,2012-12-08,5,R1
S0069100,2012-12-08 00:00:00,2013-01-05,2,R1
S0069100,2013-04-27 00:00:00,2013-05-11,5,R1
S0069100,2013-07-01 00:00:00,2013-07-27,27,R2
S0069100,2013-08-24 00:00:00,2013-09-07,5,R2
S0069100,2015-01-24 00:00:00,2015-02-07,5,R3
S0069100,2015-04-04 00:00:00,2015-04-18,5,R3
S0069130,2012-07-21 00:00:00,2012-08-04,5,R1
S0069130,2012-08-18 00:00:00,2012-09-15,2,R1
S0069130,2012-09-15 00:00:00,2012-09-29,5,R1
S0069130,2013-05-25 00:00:00,2013-06-25,2,R1
S0069130,2013-10-05 00:00:00,2013-10-19,5,R2
S0069130,2013-10-19 00:00:00,2013-11-16,22,R2
S0069130,2014-02-08 00:00:00,2014-03-08,27,R2
S0069130,2014-05-31 00:00:00,2014-06-14,5,R2
S0069130,2015-01-10 00:00:00,2015-01-24,5,R3
S0069130,2015-03-07 00:00:00,2015-03-21,5,R3
S0069130,2015-04-04 00:00:00,2015-05-02,27,R3
S0069131,2012-09-22 00:00:00,2012-10-20,27,R2
S0069131,2013-02-23 00:00:00,2013-03-09,5,R2
S0069131,2013-03-23 00:00:00,2013-04-06,5,R2
S0069131,2013-05-04 00:00:00,2013-06-01,2,R2
S0069131,2013-09-07 00:00:00,2013-09-21,5,R3
S0069131,2014-02-08 00:00:00,2014-03-08,2,R3
S0069140,2012-11-10 00:00:00,2012-12-08,2,R1
S0069140,2012-12-08 00:00:00,2013-01-05,22,R1
S0069140,2013-04-27 00:00:00,2013-05-25,2,R1
S0069140,2014-01-25 00:00:00,2014-02-08,5,R2
S0069140,2014-05-03 00:00:00,2014-05-31,27,R2
S0069140,2014-11-15 00:00:00,2014-12-09,27,R3
S0069140,2015-01-24 00:00:00,2015-02-07,5,R3
S0069156,2012-06-25 00:00:00,2012-07-21,2,R1
S0069156,2012-12-08 00:00:00,2013-01-05,2,R1
S0069156,2014-01-25 00:00:00,2014-02-08,5,R2
S0069156,2014-05-31 00:00:00,2014-07-01,27,R2
S0069156,2014-09-06 00:00:00,2014-09-20,5,R3
S0069156,2015-04-04 00:00:00,2015-05-02,2,R3
S0070042,2012-10-20 00:00:00,2012-11-03,5,R3
S0070042,2012-11-17 00:00:00,2012-12-29,2,R3
S0070042,2013-02-09 00:00:00,2013-03-09,27,R3
S0070660,2012-07-01 00:00:00,2012-07-28,27,R3
S0070660,2013-06-01 00:00:00,2013-06-15,5,R3
S0071106,2012-10-20 00:00:00,2012-11-17,2,R3
S0071106,2013-01-03 00:00:00,2013-01-12,5,R3
S0071106,2013-05-04 00:00:00,2013-06-01,27,R3
S0071110,2012-07-14 00:00:00,2012-07-28,5,R3
S0074196,2015-08-15 00:00:00,2015-09-12,2,R1
S0074196,2015-10-10 00:00:00,2015-11-07,22,R1
S0074196,2016-01-02 00:00:00,2016-01-30,2,R1
S0074196,2016-06-25 00:00:00,2016-07-16,5,R2
S0074196,2016-09-24 00:00:00,2016-10-08,5,R2
S0074196,2016-11-05 00:00:00,2016-12-03,27,R2
S0074892,2012-07-01 00:00:00,2012-07-14,5,R3
S0074892,2012-12-29 00:00:00,2013-01-03,5,R3
S0074892,2013-03-09 00:00:00,2013-03-23,5,R3
